Kimlik_No,Ad,Soyad,Cinsiyet,Yaş,Email,Telefon,Şehir,İlçe,Rol_Kategorisi,Rol,Kıdem,Ünvan,Deneyim_Yıl,Eğitim_Seviyesi,Eğitim_Alanı,Mezuniyet_Yılı,Doğum_Yılı,İşe_Başlama_Tarihi,Maaş_TL,Şirket,Şirket_Büyüklüğü,Sektör,Çalışma_Şekli,Uzaktan_Çalışma_Oranı,Kullandığı_Teknolojiler,Ana_Programlama_Dili,İngilizce_Seviyesi,Diğer_Diller,Sertifikalar,LinkedIn_Profili,GitHub_Profili,Toplam_Proje_Sayısı,Teknik_Beceri_Puanı,Soft_Skill_Puanı,Yıllık_İzin_Gün,Son_Terfi_Tarihi
8297,Kutay,Fırat,Erkek,60,kutay.firat@gmail.com,0638-834 8630,İstanbul,Üsküdar,Yapay Zeka ve Makine Öğrenmesi,Robotik Süreç Otomasyonu Uzmanı,Stajyer,Stajyer Robotik Süreç Otomasyonu Uzmanı,0.1,Lisans,Bilgisayar Mühendisliği,1987,1965,2025-09-16,14136,Mobiroller,Startup (1-10),E-Ticaret,Tam Zamanlı,0,"MATLAB, Groovy, Ruby, Clojure, Keras, TensorFlow, Airflow, MariaDB, Oracle",Ruby,Orta,Türkçe (Anadil),"Microsoft Certified: Data Scientist, SAS Certified Data Scientist",,,2,43,51,14,
8298,Arpağ,Fırat,Erkek,41,arpag.firat@gmail.com,+90(445)025-2843x1295,Ankara,Çankaya,DevOps ve Altyapı,Cloud Mühendisi,Müdür Yardımcısı,Müdür Yardımcısı Cloud Mühendisi,12.1,Lisans,Bilgisayar Mühendisliği,2006,1984,2022-09-11,57955,Yemeksepeti Tech,Kurumsal (1000+),Finans/Bankacılık,Tam Zamanlı,0,"Haskell, Elixir, SonarQube, GitHub Actions, Sentry, ElasticSearch, Neo4j, Scaleway, Vercel, Heroku, Oracle Cloud",Elixir,İleri,"Türkçe (Anadil), Çince (Başlangıç)","Kubernetes Administrator, AWS Certified DevOps Engineer",linkedin.com/in/arpag-firat-166,github.com/arpag.firat,27,99,85,23,2022-01-08
8299,Esenbay,Bilgin,Erkek,56,esenbay_bilgin@hotmail.com,+90 (303) 5294723,Ankara,Sincan,QA ve Test,Test Uzmanı,Lead,Lead Test Uzmanı,10.2,Lisans,Bilgisayar Programcılığı,1991,1969,2020-10-15,40871,Amazon Türkiye,Büyük (201-1000),Danışmanlık,Tam Zamanlı,0,"Dart, Python, Objective-C, Mocha, Playwright, SoapUI, Appium, Istio, Chef",Python,İleri,"Türkçe (Anadil), Fransızca (Orta)",,linkedin.com/in/esenbay-bilgin-919,github.com/ebilgin,25,91,69,22,
8300,Sevindik,Yıldırım,Erkek,51,sevindik_yildirim@hotmail.com,+90(672)8252442,İzmir,Bayraklı,Veri,Veri Analisti,Sr.,Sr. Veri Analisti,7.3,Lisans,Bilgisayar Mühendisliği,1996,1974,2020-10-11,40998,Obilet Technology,Startup (1-10),Yazılım,Tam Zamanlı,0,"Dart, Assembly, PHP, MATLAB, MariaDB, SQLite, Tableau, PyTorch, Ray, Airflow",MATLAB,İleri Düzey,Türkçe (Anadil),"Microsoft Certified: Data Engineer, IBM Data Science Professional Certificate, IBM Data Science Professional Certificate, Microsoft Certified: Data Analyst Associate",linkedin.com/in/sevindik-yildirim-864,github.com/sevindikyildirim,12,85,52,21,2022-01-08
8301,Gülsü,Yüksel,Kadın,46,gyuksel@gmail.com,+90 (132) 7734217,İstanbul,Maltepe,Veri,Veri Mimarı,Mid.,Mid. Veri Mimarı,2.5,Önlisans,Yazılım Mühendisliği,1999,1979,2024-02-11,29382,Oracle Türkiye,Büyük (201-1000),Yazılım,Tam Zamanlı,0,"Java, Python, F#, Haskell, CockroachDB, MariaDB, MySQL, InfluxDB, CUDA, Power BI, Luigi, Keras",Python,Orta,Türkçe (Anadil),IBM Data Science Professional Certificate,linkedin.com/in/gulsu-yuksel-739,github.com/gulsu_yuksel,15,56,57,16,2024-10-24
8302,Mertel,Gül,Erkek,42,mertel.gul@outlook.com,+90(970)998-4522x059,İzmir,Bornova,Yazılım Geliştirme,Gömülü Yazılım Geliştirici,Müdür Yardımcısı,Müdür Yardımcısı Gömülü Yazılım Geliştirici,14.5,Yüksek Lisans,Yazılım Mühendisliği,2007,1983,2018-07-25,56619,TRtest,Orta (51-200),Savunma Sanayi,Yarı Zamanlı,20,"JavaScript, R, Python, Swift, Webpack, Next.js, Less, ASP.NET Core, Gin, Symfony, Deno, MariaDB, Redis",Swift,İleri Düzey,Türkçe (Anadil),"React Developer Certificate, React Developer Certificate, Oracle Certified Professional, Java EE Developer",linkedin.com/in/mertel-gul-870,github.com/mertelgul,40,94,93,24,2021-09-10
8303,Yasan,Güçlü,Erkek,40,yguclu@gmail.com,+90(845)542-7305x8163,İstanbul,Kadıköy,Yapay Zeka ve Makine Öğrenmesi,NLP Uzmanı,Jr.,Jr. NLP Uzmanı,0.9,Lisans,Yazılım Mühendisliği,2007,1985,2025-09-16,28631,TUSAŞ,Orta (51-200),Savunma Sanayi,Tam Zamanlı,0,"R, Dart, Lua, Airflow, OpenCV, SageMaker, ElasticSearch, Cassandra, Redis",Dart,İleri,"Türkçe (Anadil), İspanyolca (Başlangıç)",,linkedin.com/in/yasan-guclu-123,,7,42,43,14,
8304,Akise,Zorlu,Kadın,41,zorlu.akise@yahoo.com,+90 (832) 8159572,Antalya,Döşemealtı,İş ve Analiz,IT Danışmanı,Lead,Lead IT Danışmanı,9.2,Sertifika Programı,Bilgisayar Teknolojileri,2012,1984,2020-09-23,43771,PwC Teknoloji,Büyük (201-1000),Danışmanlık,Tam Zamanlı,20,"Assembly, R, Groovy, DynamoDB, SQLite, Cassandra, Firebase, Prometheus, Chef",Groovy,Orta,Türkçe (Anadil),"Cloudera Certified Associate Data Analyst, SAS Certified Data Scientist",linkedin.com/in/akise-zorlu-499,,30,90,63,22,2023-11-29
8305,Mengi,Dumanlı,Erkek,27,mdumanli@gmail.com,879 8 760,Antalya,Lara,Yönetim ve Liderlik,CIO,Jr.,Jr. CIO,1.5,Lisans,Yönetim Bilişim Sistemleri,2020,1998,2025-07-23,22713,Lostar,Büyük (201-1000),Danışmanlık,Tam Zamanlı,20,"Lua, MATLAB, Haskell, JavaScript, ElasticSearch, PostgreSQL, Redis, DynamoDB, Vault, TeamCity, Docker, Puppet",MATLAB,İleri,Türkçe (Anadil),"Professional Scrum Master (PSM), Professional Scrum Master (PSM)",linkedin.com/in/mengi-dumanli-521,,6,56,72,15,2024-12-23
8306,Nasiba,Tevetoğlu,Kadın,57,nasiba_tevetoglu@hotmail.com,+90 (279) 7288246,Bursa,Nilüfer,Yazılım Geliştirme,Mobil Uygulama Geliştirici,Sr.,Sr. Mobil Uygulama Geliştirici,7.7,Lisans,Yönetim Bilişim Sistemleri,1990,1968,2020-03-14,35397,Ericsson Türkiye,Büyük (201-1000),Yazılım,Tam Zamanlı,0,"C++, MATLAB, Vue.js, Angular, Svelte, Express.js, CodeIgniter, Laravel, Firebase, SQLite, Flutter, Kotlin Multiplatform, Xamarin, Swift",Swift,Orta,Türkçe (Anadil),"Zend Certified PHP Engineer, React Developer Certificate",linkedin.com/in/nasiba-tevetoglu-917,github.com/nasiba_tevetoglu,23,86,67,21,2020-08-16
8307,Gülnaziye,Ergül,Kadın,25,gulnaziye.ergul@outlook.com,+90(593)210-9855x6576,Antalya,Döşemealtı,Yazılım Geliştirme,Oyun Geliştirici,Mid.,Mid. Oyun Geliştirici,2.8,Lisans,Endüstri Mühendisliği,2022,2000,2025-12-02,25605,Tapu.com,Startup (1-10),Oyun,Uzaktan,100,"Java, Kotlin, PWA, React, Gin, Spring Boot, Django, Phoenix, Oracle, PostgreSQL",Kotlin,Orta,"Türkçe (Anadil), Arapça (Başlangıç)","Oracle Certified Professional, Java SE Programmer",linkedin.com/in/gulnaziye-ergul-239,github.com/gulnaziye.ergul,9,62,46,16,2024-11-23
8308,Sancak,Yılmaz,Erkek,38,sancak.yilmaz@gmail.com,+90 (782) 9268898,Antalya,Kepez,Yapay Zeka ve Makine Öğrenmesi,Derin Öğrenme Mühendisi,Müdür Yardımcısı,Müdür Yardımcısı Derin Öğrenme Mühendisi,13.4,Lisans,Bilgisayar Mühendisliği,2009,1987,2024-10-25,68435,Sipay,Startup (1-10),Finans/Bankacılık,Uzaktan,100,"Dart, Scala, COBOL, Ray, NumPy, Oracle, InfluxDB",Dart,İleri,Türkçe (Anadil),"Certified Data Management Professional (CDMP), Certified Data Management Professional (CDMP), Databricks Certified Data Engineer",linkedin.com/in/sancak-yilmaz-852,github.com/sancakyilmaz83,25,97,85,24,2023-04-03
8309,Nili,Çorlu,Kadın,58,nili_corlu@hotmail.com,(519)657 8169,Trabzon,Yeni Mahalle,Yapay Zeka ve Makine Öğrenmesi,Makine Öğrenmesi Mühendisi,Direktör,Direktör Makine Öğrenmesi Mühendisi,17.0,Lisans,Bilgisayar Mühendisliği,1989,1967,2022-03-19,101766,Vodafone Teknoloji,Büyük (201-1000),E-Ticaret,Tam Zamanlı,0,"Clojure, Rust, C#, Apache Spark, Databricks, Scikit-learn, PyTorch, MySQL, PostgreSQL",Clojure,Orta,"Türkçe (Anadil), Almanca (Başlangıç)","Microsoft Certified: Data Engineer, MongoDB Certified DBA",linkedin.com/in/nili-corlu-863,github.com/nilicorlu71,24,99,91,26,
8310,Baltaş,Öcalan,Erkek,51,bocalan@gmail.com,+90(231)404-1535x481,Muğla,Yeni Mahalle,Yazılım Geliştirme,Oyun Geliştirici,Jr.,Jr. Oyun Geliştirici,1.6,Lisans,Endüstri Mühendisliği,1996,1974,2025-04-07,18286,KAREL,Kurumsal (1000+),Savunma Sanayi,Tam Zamanlı,20,"Swift, Dart, Kotlin, Scala, TypeScript, Ember.js, Node.js, Django, NestJS, Cassandra, MySQL, SQL Server, Firebase",Kotlin,İleri,"Türkçe (Anadil), Fransızca (Başlangıç)",,linkedin.com/in/baltas-ocalan-507,,3,44,46,15,
8311,Coşkun,Güçlü,Erkek,32,coskun.guclu@outlook.com,+90(268)9200582,İstanbul,Beşiktaş,Yazılım Geliştirme,Oyun Geliştirici,Mid.,Mid. Oyun Geliştirici,3.4,Lisans,Yazılım Mühendisliği,2015,1993,2025-03-23,28472,VESTEL Savunma,Kurumsal (1000+),Savunma Sanayi,Tam Zamanlı,20,"Java, Clojure, TypeScript, Apollo Client, Sass/SCSS, Spring Boot, Ruby on Rails, Echo, PostgreSQL, Firebase, Redis, FaunaDB",Java,İleri,Türkçe (Anadil),Microsoft Certified: .NET Developer,linkedin.com/in/coskun-guclu-396,,6,58,46,17,
8312,Ayyaruk,Mansız,Kadın,54,ayyaruk_mansiz@hotmail.com,05744181469,İzmir,Karşıyaka,QA ve Test,Güvenlik Test Uzmanı,Direktör,Direktör Güvenlik Test Uzmanı,22.4,Lisans,Yazılım Mühendisliği,1993,1971,2018-03-03,89568,Hepsiburada Tech,Kurumsal (1000+),Perakende,Tam Zamanlı,0,"Ruby, Rust, JMeter, Chai, xUnit, Prometheus, Terraform",Ruby,İleri,Türkçe (Anadil),"Interaction Design Foundation UX Certificate, Certified User Experience Professional (CUXP), Interaction Design Foundation UX Certificate",,,50,99,87,26,2022-09-05
8313,Naz,Tarhan,Kadın,58,naz.tarhan@outlook.com,+90(714)1580465,Antalya,Muratpaşa,QA ve Test,Kullanıcı Kabul Testi Uzmanı,Müdür Yardımcısı,Müdür Yardımcısı Kullanıcı Kabul Testi Uzmanı,12.4,Lisans,İstatistik,1989,1967,2020-04-19,51420,Veripark,Büyük (201-1000),Finans/Bankacılık,Tam Zamanlı,0,"Clojure, Haskell, Ruby, Cypress, Jest, Chai, PHPUnit, TeamCity, Git, Puppet, Helm",Haskell,İleri,Türkçe (Anadil),,linkedin.com/in/naz-tarhan-988,,42,85,77,23,
8314,Sevdinar,Yaman,Kadın,44,sevdinaryaman@gmail.com,+90 (187) 2884359,İstanbul,Ataşehir,DevOps ve Altyapı,Sistem Yöneticisi,Mid.,Mid. Sistem Yöneticisi,2.8,Lisans,Elektrik-Elektronik Mühendisliği,2003,1981,2023-02-17,33791,Vodafone Teknoloji,Kurumsal (1000+),E-Ticaret,Tam Zamanlı,0,"MATLAB, Assembly, Rust, Groovy, ArgoCD, ELK Stack, Kubernetes, Puppet, MariaDB, InfluxDB, ElasticSearch, Netlify, Google Cloud, Vercel",Assembly,Orta,Türkçe (Anadil),,linkedin.com/in/sevdinar-yaman-626,,8,58,45,16,2024-07-26
8315,Silanur,Mansız,Kadın,45,silanur.mansiz@outlook.com,+90(356)5116998,Tekirdağ,Yeni Mahalle,DevOps ve Altyapı,Ağ Mühendisi,Sr.,Sr. Ağ Mühendisi,6.7,Lisans,Yazılım Mühendisliği,2002,1980,2025-03-06,35826,Iyzico,Startup (1-10),E-Ticaret,Tam Zamanlı,0,"Scala, Objective-C, COBOL, ArgoCD, Chef, Supabase, Cassandra, Google Cloud, OVH",COBOL,Orta,"Türkçe (Anadil), Fransızca (Başlangıç)","Azure DevOps Engineer Expert, Alcatel-Lucent Network Routing Specialist, Juniper Networks Certified Internet Associate (JNCIA)",linkedin.com/in/silanur-mansiz-343,github.com/smansiz,22,88,59,20,2023-04-03
8316,Maksur,Yılmaz,Erkek,31,yilmaz.maksur@yahoo.com,+90(784)031-0595x325,İstanbul,Levent,Veri,Veri Mimarı,Jr.,Jr. Veri Mimarı,1.4,Lisans,Elektrik-Elektronik Mühendisliği,2016,1994,2024-03-19,24290,Intertech,Büyük (201-1000),Danışmanlık,Tam Zamanlı,0,"R, Go, Neo4j, SQLite, Firestore, Firebase, Power BI, Apache Beam, NLTK",R,Orta,Türkçe (Anadil),,linkedin.com/in/maksur-yilmaz-945,github.com/maksuryilmaz,5,49,48,15,
8317,Verim,Yılmaz,Erkek,27,vyilmaz@gmail.com,+90(580)426-7269x6682,İstanbul,Şişli,Veri,Büyük Veri Uzmanı,Stajyer,Stajyer Büyük Veri Uzmanı,0.2,Yüksek Lisans,İstatistik,2022,1998,2025-05-04,11121,Siemens Türkiye,Orta (51-200),Danışmanlık,Tam Zamanlı,0,"JavaScript, Objective-C, Scala, Redis, SQL Server, PostgreSQL, MySQL, Apache Kafka, TensorFlow, Keras",JavaScript,İleri,Türkçe (Anadil),,linkedin.com/in/verim-yilmaz-469,,2,41,60,14,
8318,Zahid,Hançer,Erkek,27,zahidhancer@gmail.com,0746-925 9769,İstanbul,Şişli,Yönetim ve Liderlik,IT Müdürü,Stajyer,Stajyer IT Müdürü,0.1,Lisans,Bilgisayar Mühendisliği,2020,1998,2025-03-18,14455,Intertech,Orta (51-200),Finans/Bankacılık,Tam Zamanlı,0,"Ruby, Scala, FaunaDB, ElasticSearch, Oracle, SQL Server, CircleCI, ArgoCD",Scala,İleri,Türkçe (Anadil),,linkedin.com/in/zahid-hancer-613,,2,46,58,14,
8319,Elgin,Eraslan,Kadın,34,eeraslan@gmail.com,584 0 352,İzmir,Gaziemir,İş ve Analiz,CRM Uzmanı,Sr.,Sr. CRM Uzmanı,5.4,Doktora,Yazılım Mühendisliği,2019,1991,2022-06-15,35708,Apsiyon,Küçük (11-50),Oyun,Tam Zamanlı,0,"Haskell, C#, TypeScript, Elixir, Firebase, InfluxDB, CockroachDB, Sentry, Helm, Chef, Kubernetes",Haskell,İleri Düzey,"Türkçe (Anadil), Fransızca (Orta)","Oracle Certified Professional, Java EE Developer",linkedin.com/in/elgin-eraslan-791,,18,68,56,20,2025-01-22
8320,Kösemen,Yaman,Erkek,36,kosemen_yaman@hotmail.com,+90 (204) 0784437,Ankara,Keçiören,Yönetim ve Liderlik,IT Müdürü,Jr.,Jr. IT Müdürü,0.8,Lisans,Endüstri Mühendisliği,2011,1989,2025-01-23,27529,Huawei Türkiye,Kurumsal (1000+),Yazılım,Tam Zamanlı,0,"MATLAB, Elixir, Redis, MySQL, CockroachDB, FaunaDB, Helm, Vault, Ansible",Elixir,İleri Düzey,"Türkçe (Anadil), Japonca (Başlangıç)",,linkedin.com/in/kosemen-yaman-671,,4,43,66,14,2025-02-21
8321,Baltaş,Yorulmaz,Erkek,46,baltasyorulmaz@gmail.com,+90(315)3912040,İstanbul,Sarıyer,DevOps ve Altyapı,Windows Sistem Uzmanı,Jr.,Jr. Windows Sistem Uzmanı,0.6,Önlisans,Bilişim Sistemleri,1999,1979,2025-11-17,23787,Roketsan,Büyük (201-1000),E-Ticaret,Freelance,100,"C++, Ruby, Scala, COBOL, ELK Stack, Chef, Istio, Supabase, PostgreSQL, MySQL, Vercel, AWS, Netlify, IBM Cloud",COBOL,İleri,Türkçe (Anadil),,,github.com/baltas_yorulmaz,8,49,40,14,
8322,Yıldır,Durmuş,Erkek,22,ydurmus@gmail.com,+90(637)6315869,Aydın,Yıldız,QA ve Test,Kullanıcı Kabul Testi Uzmanı,Jr.,Jr. Kullanıcı Kabul Testi Uzmanı,0.8,Lisans,Yazılım Mühendisliği,2025,2003,2025-10-04,16661,Oracle Türkiye,Kurumsal (1000+),Danışmanlık,Uzaktan,100,"Scala, Assembly, Ruby, Jasmine, Mocha, Jest, Appium, ELK Stack, CircleCI, Jenkins",Assembly,Orta,Türkçe (Anadil),,linkedin.com/in/yildir-durmus-581,,7,47,58,14,
8323,Ahat,Hançer,Erkek,38,hancer.ahat@yahoo.com,(132)931 1371,Ankara,Gölbaşı,İş ve Analiz,IT Danışmanı,Jr.,Jr. IT Danışmanı,1.3,Lisans,Endüstri Mühendisliği,2009,1987,2025-11-05,17939,KAREL,Kurumsal (1000+),Savunma Sanayi,Tam Zamanlı,0,"COBOL, Dart, Kotlin, ElasticSearch, Redis, CockroachDB, PostgreSQL, Helm, CircleCI",Kotlin,İleri,Türkçe (Anadil),,linkedin.com/in/ahat-hancer-407,github.com/ahancer,8,51,53,15,
8324,Sağıt,Tarhan,Erkek,46,sagit_tarhan@hotmail.com,04830863701,İstanbul,Maslak,Tasarım ve Kullanıcı Deneyimi,Kullanıcı Araştırma Uzmanı,Müdür,Müdür Kullanıcı Araştırma Uzmanı,12.0,Önlisans,Endüstri Mühendisliği,1999,1979,2015-04-20,71872,TÜBİTAK,Büyük (201-1000),Perakende,Tam Zamanlı,20,"Adobe Illustrator, Axure RP, Bootstrap, Webpack, React",,Anadil,Türkçe (Anadil),,linkedin.com/in/sagit-tarhan-777,,37,95,87,23,
8325,Feden,Akgündüz,Kadın,43,fakgunduz@gmail.com,770 7 941,Antalya,Konyaaltı,Veri,ETL Geliştirici,Sr.,Sr. ETL Geliştirici,6.3,Lise,Bilgisayar Mühendisliği,2000,1982,2024-12-05,37144,TUSAŞ,Kurumsal (1000+),Kamu,Tam Zamanlı,0,"Clojure, Python, MATLAB, Elixir, MariaDB, PostgreSQL, DynamoDB, Tableau, Hadoop",Elixir,İleri,Türkçe (Anadil),"Microsoft Certified: Data Analyst Associate, Snowflake SnowPro Core Certification, Databricks Certified Data Engineer",linkedin.com/in/feden-akgunduz-168,github.com/feden.akgunduz,25,80,55,20,2024-10-24
8326,Kısmet,Öcalan,Kadın,26,ocalan.kismet@yahoo.com,0824 883 14 46,İstanbul,Bakırköy,Yapay Zeka ve Makine Öğrenmesi,Makine Öğrenmesi Mühendisi,Jr.,Jr. Makine Öğrenmesi Mühendisi,1.8,Lisans,Bilgisayar Mühendisliği,2021,1999,2025-05-15,26943,TRtest,Büyük (201-1000),Savunma Sanayi,Tam Zamanlı,0,"Swift, Groovy, Keras, OpenAI API, OpenCV, Pandas, DynamoDB, PostgreSQL, SQL Server",Swift,Başlangıç,"Türkçe (Anadil), İspanyolca (Başlangıç)",,linkedin.com/in/kismet-ocalan-709,github.com/ocalank,6,50,43,15,
8327,Rüşen,Akçay,Erkek,22,rusen_akcay@hotmail.com,+90(401)8079498,Ankara,Altındağ,İş ve Analiz,ERP Uzmanı,Jr.,Jr. ERP Uzmanı,0.7,Lisans,Yazılım Mühendisliği,2025,2003,2025-04-14,16764,Yemeksepeti Tech,Kurumsal (1000+),Finans/Bankacılık,Tam Zamanlı,0,"Clojure, Ruby, JavaScript, CockroachDB, FaunaDB, SonarQube, Jenkins",Ruby,İleri Düzey,Türkçe (Anadil),,linkedin.com/in/rusen-akcay-267,,8,41,46,14,
8328,Akise,Tarhan,Kadın,56,atarhan@gmail.com,+90(659)5347957,Ankara,Çankaya,QA ve Test,Güvenlik Test Uzmanı,Lead,Lead Güvenlik Test Uzmanı,8.9,Önlisans,Bilgisayar Programcılığı,1989,1969,2024-02-02,48452,HP Türkiye,Kurumsal (1000+),Yazılım,Freelance,80,"F#, R, Assembly, PHPUnit, Mockito, Cypress, SoapUI, Jenkins, GitLab CI/CD, Helm, ELK Stack",Assembly,İleri,Türkçe (Anadil),"Professional Scrum Developer, Professional Scrum Developer",linkedin.com/in/akise-tarhan-999,,26,89,54,21,2022-02-07
8329,Kelâmi,Bilge,Erkek,58,kbilge@gmail.com,(139)601 3132,Tekirdağ,Cumhuriyet,Güvenlik,Siber Güvenlik Uzmanı,Müdür,Müdür Siber Güvenlik Uzmanı,17.5,Lisans,Elektrik-Elektronik Mühendisliği,1989,1967,2009-08-09,81675,Netaş,Orta (51-200),Danışmanlık,Freelance,80,"JavaScript, PHP, Haskell, Ruby, CrowdStrike, Trend Micro, Wireshark, Kali Linux, TeamCity, GitHub Actions, Sentry, Vault",Ruby,İleri,Türkçe (Anadil),CyberArk Certified Defender,linkedin.com/in/kelâmi-bilge-156,,44,93,89,26,2023-12-29
8330,Burcuhan,Yıldırım,Kadın,23,burcuhan_yildirim@hotmail.com,+90(032)472-7122x463,Ankara,Etimesgut,Veri,İş Zekası Uzmanı,Jr.,Jr. İş Zekası Uzmanı,0.8,Lisans,Yazılım Mühendisliği,2024,2002,2025-07-02,23159,BAYKAR,Kurumsal (1000+),Kamu,Yarı Zamanlı,20,"Groovy, MATLAB, JavaScript, Haskell, Oracle, Redis, DynamoDB, Pandas, Hadoop, TensorFlow, Luigi",JavaScript,Anadil,Türkçe (Anadil),,linkedin.com/in/burcuhan-yildirim-125,github.com/burcuhan_yildirim,3,40,50,14,
8331,İrfan,İnönü,Kadın,60,i̇rfan.i̇nonu@gmail.com,0841-849 8693,Adana,Cumhuriyet,İş ve Analiz,Sistem Analisti,Direktör,Direktör Sistem Analisti,20.6,Sertifika Programı,Bilgisayar Programcılığı,1987,1965,2011-06-09,78152,Innova,Büyük (201-1000),Yazılım,Hibrit,40,"C++, Kotlin, Python, Elixir, Firebase, PostgreSQL, Cassandra, Neo4j, Docker, Grafana",Python,İleri,Türkçe (Anadil),"Oracle Linux System Administrator, VMware Certified Professional - Data Center Virtualization, Alcatel-Lucent Network Routing Specialist",linkedin.com/in/i̇rfan-i̇nonu-148,,50,96,100,26,2023-06-02
8332,Gülağa,Yılmaz,Erkek,59,gulagayilmaz@gmail.com,0850 146 89 77,Ankara,Sincan,QA ve Test,Güvenlik Test Uzmanı,Stajyer,Stajyer Güvenlik Test Uzmanı,0.3,Yüksek Lisans,Diğer,1990,1966,2025-06-17,9883,TRtest,Büyük (201-1000),Kamu,Tam Zamanlı,0,"PHP, C#, Java, TestNG, Postman, Gatling, GitHub Actions, ArgoCD, GitLab CI/CD, Chef",Java,İleri Düzey,Türkçe (Anadil),,linkedin.com/in/gulaga-yilmaz-674,,1,39,54,14,
8333,Günsel,Ergül,Kadın,53,gunsel.ergul@gmail.com,06866696170,İzmir,Konak,Tasarım ve Kullanıcı Deneyimi,UI Tasarımcısı,Müdür Yardımcısı,Müdür Yardımcısı UI Tasarımcısı,10.4,Lisans,Elektrik-Elektronik Mühendisliği,1994,1972,2016-04-12,53581,ISBIR,Kurumsal (1000+),Savunma Sanayi,Tam Zamanlı,0,"Principle, ProtoPie, TypeScript, GraphQL, Next.js",TypeScript,İleri,Türkçe (Anadil),"Sketch Certified, Sketch Certified, Figma Certification, Sketch Certified",linkedin.com/in/gunsel-ergul-881,github.com/gunselergul,27,100,88,22,
8334,Cenan,Akça,Erkek,28,cenan_akca@hotmail.com,+90(759)110-7248x351,Antalya,Lara,DevOps ve Altyapı,Bulut Mimarı,Sr.,Sr. Bulut Mimarı,5.1,Lisans,Bilgisayar Mühendisliği,2019,1997,2023-08-28,34253,HP Türkiye,Kurumsal (1000+),Danışmanlık,Hibrit,20,"Lua, JavaScript, Groovy, PHP, Chef, Terraform, Neo4j, Oracle, MongoDB, Alibaba Cloud, Oracle Cloud, AWS",JavaScript,İleri Düzey,"Türkçe (Anadil), Almanca (Başlangıç)",AWS Certified DevOps Engineer,,,25,77,59,20,2024-07-26
8335,Ruhugül,Güçlü,Kadın,46,rguclu@gmail.com,+90(103)7756586,Ankara,Çankaya,QA ve Test,Test Uzmanı,Mid.,Mid. Test Uzmanı,3.4,Lisans,Endüstri Mühendisliği,2001,1979,2023-10-26,21834,STM,Kurumsal (1000+),Kamu,Tam Zamanlı,0,"TypeScript, JavaScript, Groovy, Python, JUnit, Playwright, Cypress, Helm, GitLab CI/CD",Python,İleri,Türkçe (Anadil),"Linux Professional Institute Certification (LPIC), Linux Professional Institute Certification (LPIC)",linkedin.com/in/ruhugul-guclu-912,,12,62,50,17,2023-03-04
8336,Türkalp,Mansız,Erkek,28,turkalpmansiz@gmail.com,(946)738 5221,İstanbul,Şişli,İş ve Analiz,Bilgi Sistemleri Analisti,Sr.,Sr. Bilgi Sistemleri Analisti,6.7,Önlisans,Bilgisayar Programcılığı,2017,1997,2025-08-04,38964,BiTaksi,Küçük (11-50),Yazılım,Tam Zamanlı,0,"Groovy, PHP, Clojure, Perl, Firebase, PostgreSQL, MariaDB, DynamoDB, Terraform, Sentry, TeamCity, Kubernetes",Perl,Orta,Türkçe (Anadil),"VMware Certified Network Virtualization, Red Hat Certified System Administrator (RHCSA), Fortinet Network Security Associate, Aruba Certified Switching Associate",linkedin.com/in/turkalp-mansiz-385,,20,84,51,20,
8337,Sezal,Dumanlı,Erkek,56,sezal.dumanli@outlook.com,645 8 071,Aydın,Yıldız,QA ve Test,Test Otomasyon Uzmanı,Lead,Lead Test Otomasyon Uzmanı,9.7,Önlisans,Bilgisayar Mühendisliği,1989,1969,2022-11-24,41665,BiTaksi,Startup (1-10),Finans/Bankacılık,Uzaktan,100,"Dart, Assembly, Chai, WireMock, xUnit, Vault, Jenkins",Dart,Başlangıç,Türkçe (Anadil),Juniper Networks Certified Internet Associate (JNCIA),linkedin.com/in/sezal-dumanli-857,,31,86,73,22,2022-11-04
8338,Şamiha,İnönü,Kadın,24,samiha_i̇nonu@hotmail.com,+90(645)7002462,İstanbul,Şişli,Güvenlik,Güvenlik Mühendisi,Stajyer,Stajyer Güvenlik Mühendisi,0.1,Lisans,Bilgisayar Mühendisliği,2023,2001,2025-09-22,11863,TÜBİTAK,Büyük (201-1000),E-Ticaret,Tam Zamanlı,0,"Kotlin, VBA, F#, Nessus, Checkmarx, Nmap, Vault, Terraform",VBA,İleri Düzey,"Türkçe (Anadil), Çince (İleri), Almanca (Orta)",,linkedin.com/in/samiha-i̇nonu-506,,1,44,58,14,
8339,Siper,Arsoy,Erkek,58,siper.arsoy@gmail.com,680 5 119,Ankara,Yenimahalle,DevOps ve Altyapı,Ağ Mühendisi,Sr.,Sr. Ağ Mühendisi,5.2,Yüksek Lisans,Bilişim Sistemleri,1991,1967,2020-10-24,39281,STM,Kurumsal (1000+),Kamu,Tam Zamanlı,0,"PHP, Lua, CircleCI, Terraform, Docker, FaunaDB, InfluxDB, MongoDB, PostgreSQL, OVH, Tencent Cloud",Lua,İleri,Türkçe (Anadil),Cisco Certified Internetwork Expert (CCIE),linkedin.com/in/siper-arsoy-686,,11,69,52,20,
